Nombre_Inicio_Viaje,LAT_Inicio_Viaje,LON_Inicio_Viaje,Hour,Average_Trips
25 DE MAYO,-34.6015,-58.3712,0,7
25 DE MAYO,-34.6015,-58.3712,1,9
25 DE MAYO,-34.6015,-58.3712,2,7
25 DE MAYO,-34.6015,-58.3712,3,7
25 DE MAYO,-34.6015,-58.3712,4,2
25 DE MAYO,-34.6015,-58.3712,5,27
25 DE MAYO,-34.6015,-58.3712,6,13
25 DE MAYO,-34.6015,-58.3712,7,31
25 DE MAYO,-34.6015,-58.3712,8,57
25 DE MAYO,-34.6015,-58.3712,9,64
25 DE MAYO,-34.6015,-58.3712,10,57
25 DE MAYO,-34.6015,-58.3712,11,78
25 DE MAYO,-34.6015,-58.3712,12,132
25 DE MAYO,-34.6015,-58.3712,13,133
25 DE MAYO,-34.6015,-58.3712,14,174
25 DE MAYO,-34.6015,-58.3712,15,184
25 DE MAYO,-34.6015,-58.3712,16,194
25 DE MAYO,-34.6015,-58.3712,17,82
25 DE MAYO,-34.6015,-58.3712,18,56
25 DE MAYO,-34.6015,-58.3712,19,36
25 DE MAYO,-34.6015,-58.3712,20,19
25 DE MAYO,-34.6015,-58.3712,21,11
25 DE MAYO,-34.6015,-58.3712,22,8
25 DE MAYO,-34.6015,-58.3712,23,3
33 ORIENTALES,-34.6291,-58.4247,0,70
33 ORIENTALES,-34.6291,-58.4247,1,32
33 ORIENTALES,-34.6291,-58.4247,2,28
33 ORIENTALES,-34.6291,-58.4247,3,12
33 ORIENTALES,-34.6291,-58.4247,4,6
33 ORIENTALES,-34.6291,-58.4247,5,7
33 ORIENTALES,-34.6291,-58.4247,6,49
33 ORIENTALES,-34.6291,-58.4247,7,73
33 ORIENTALES,-34.6291,-58.4247,8,86
33 ORIENTALES,-34.6291,-58.4247,9,46
33 ORIENTALES,-34.6291,-58.4247,10,39
33 ORIENTALES,-34.6291,-58.4247,11,67
33 ORIENTALES,-34.6291,-58.4247,12,67
33 ORIENTALES,-34.6291,-58.4247,13,55
33 ORIENTALES,-34.6291,-58.4247,14,52
33 ORIENTALES,-34.6291,-58.4247,15,93
33 ORIENTALES,-34.6291,-58.4247,16,131
33 ORIENTALES,-34.6291,-58.4247,17,278
33 ORIENTALES,-34.6291,-58.4247,18,195
33 ORIENTALES,-34.6291,-58.4247,19,188
33 ORIENTALES,-34.6291,-58.4247,20,112
33 ORIENTALES,-34.6291,-58.4247,21,104
33 ORIENTALES,-34.6291,-58.4247,22,101
33 ORIENTALES,-34.6291,-58.4247,23,105
9 DE JULIO,-34.61214,-58.38049,0,47
9 DE JULIO,-34.61214,-58.38049,1,65
9 DE JULIO,-34.61214,-58.38049,2,17
9 DE JULIO,-34.61214,-58.38049,3,9
9 DE JULIO,-34.61214,-58.38049,4,8
9 DE JULIO,-34.61214,-58.38049,5,10
9 DE JULIO,-34.61214,-58.38049,6,41
9 DE JULIO,-34.61214,-58.38049,7,75
9 DE JULIO,-34.61214,-58.38049,8,111
9 DE JULIO,-34.61214,-58.38049,9,110
9 DE JULIO,-34.61214,-58.38049,10,106
9 DE JULIO,-34.61214,-58.38049,11,108
9 DE JULIO,-34.61214,-58.38049,12,139
9 DE JULIO,-34.61214,-58.38049,13,113
9 DE JULIO,-34.61214,-58.38049,14,201
9 DE JULIO,-34.61214,-58.38049,15,163
9 DE JULIO,-34.61214,-58.38049,16,113
9 DE JULIO,-34.61214,-58.38049,17,135
9 DE JULIO,-34.61214,-58.38049,18,99
9 DE JULIO,-34.61214,-58.38049,19,94
9 DE JULIO,-34.61214,-58.38049,20,54
9 DE JULIO,-34.61214,-58.38049,21,41
9 DE JULIO,-34.61214,-58.38049,22,39
9 DE JULIO,-34.61214,-58.38049,23,41
ACEVEDO,-34.59977,-58.44279,0,95
ACEVEDO,-34.59977,-58.44279,1,94
ACEVEDO,-34.59977,-58.44279,2,28
ACEVEDO,-34.59977,-58.44279,3,25
ACEVEDO,-34.59977,-58.44279,4,18
ACEVEDO,-34.59977,-58.44279,5,16
ACEVEDO,-34.59977,-58.44279,6,24
ACEVEDO,-34.59977,-58.44279,7,81
ACEVEDO,-34.59977,-58.44279,8,153
ACEVEDO,-34.59977,-58.44279,9,91
ACEVEDO,-34.59977,-58.44279,10,122
ACEVEDO,-34.59977,-58.44279,11,122
ACEVEDO,-34.59977,-58.44279,12,149
ACEVEDO,-34.59977,-58.44279,13,151
ACEVEDO,-34.59977,-58.44279,14,168
ACEVEDO,-34.59977,-58.44279,15,237
ACEVEDO,-34.59977,-58.44279,16,282
ACEVEDO,-34.59977,-58.44279,17,320
ACEVEDO,-34.59977,-58.44279,18,414
ACEVEDO,-34.59977,-58.44279,19,278
ACEVEDO,-34.59977,-58.44279,20,252
ACEVEDO,-34.59977,-58.44279,21,207
ACEVEDO,-34.59977,-58.44279,22,168
ACEVEDO,-34.59977,-58.44279,23,105
ACUÃA DE FIGUEROA,-34.5982,-58.42189,0,118
ACUÃA DE FIGUEROA,-34.5982,-58.42189,1,116
ACUÃA DE FIGUEROA,-34.5982,-58.42189,2,86
ACUÃA DE FIGUEROA,-34.5982,-58.42189,3,61
ACUÃA DE FIGUEROA,-34.5982,-58.42189,4,36
ACUÃA DE FIGUEROA,-34.5982,-58.42189,5,41
ACUÃA DE FIGUEROA,-34.5982,-58.42189,6,59
ACUÃA DE FIGUEROA,-34.5982,-58.42189,7,160
ACUÃA DE FIGUEROA,-34.5982,-58.42189,8,225
ACUÃA DE FIGUEROA,-34.5982,-58.42189,9,236
ACUÃA DE FIGUEROA,-34.5982,-58.42189,10,166
ACUÃA DE FIGUEROA,-34.5982,-58.42189,11,186
ACUÃA DE FIGUEROA,-34.5982,-58.42189,12,216
ACUÃA DE FIGUEROA,-34.5982,-58.42189,13,245
ACUÃA DE FIGUEROA,-34.5982,-58.42189,14,260
ACUÃA DE FIGUEROA,-34.5982,-58.42189,15,244
ACUÃA DE FIGUEROA,-34.5982,-58.42189,16,332
ACUÃA DE FIGUEROA,-34.5982,-58.42189,17,338
ACUÃA DE FIGUEROA,-34.5982,-58.42189,18,331
ACUÃA DE FIGUEROA,-34.5982,-58.42189,19,290
ACUÃA DE FIGUEROA,-34.5982,-58.42189,20,278
ACUÃA DE FIGUEROA,-34.5982,-58.42189,21,230
ACUÃA DE FIGUEROA,-34.5982,-58.42189,22,182
ACUÃA DE FIGUEROA,-34.5982,-58.42189,23,157
ADUANA,-34.61116,-58.36956,0,66
ADUANA,-34.61116,-58.36956,1,43
ADUANA,-34.61116,-58.36956,2,17
ADUANA,-34.61116,-58.36956,3,18
ADUANA,-34.61116,-58.36956,4,10
ADUANA,-34.61116,-58.36956,5,27
ADUANA,-34.61116,-58.36956,6,37
ADUANA,-34.61116,-58.36956,7,130
ADUANA,-34.61116,-58.36956,8,245
ADUANA,-34.61116,-58.36956,9,211
ADUANA,-34.61116,-58.36956,10,102
ADUANA,-34.61116,-58.36956,11,99
ADUANA,-34.61116,-58.36956,12,254
ADUANA,-34.61116,-58.36956,13,246
ADUANA,-34.61116,-58.36956,14,197
ADUANA,-34.61116,-58.36956,15,201
ADUANA,-34.61116,-58.36956,16,246
ADUANA,-34.61116,-58.36956,17,250
ADUANA,-34.61116,-58.36956,18,199
ADUANA,-34.61116,-58.36956,19,141
ADUANA,-34.61116,-58.36956,20,114
ADUANA,-34.61116,-58.36956,21,67
ADUANA,-34.61116,-58.36956,22,40
ADUANA,-34.61116,-58.36956,23,64
AEROPARQUE,-34.5557,-58.4132,0,8
AEROPARQUE,-34.5557,-58.4132,1,6
AEROPARQUE,-34.5557,-58.4132,2,9
AEROPARQUE,-34.5557,-58.4132,3,6
AEROPARQUE,-34.5557,-58.4132,4,4
AEROPARQUE,-34.5557,-58.4132,5,5
AEROPARQUE,-34.5557,-58.4132,6,6
AEROPARQUE,-34.5557,-58.4132,7,6
AEROPARQUE,-34.5557,-58.4132,8,3
AEROPARQUE,-34.5557,-58.4132,9,5
AEROPARQUE,-34.5557,-58.4132,10,5
AEROPARQUE,-34.5557,-58.4132,11,3
AEROPARQUE,-34.5557,-58.4132,12,10
AEROPARQUE,-34.5557,-58.4132,13,22
AEROPARQUE,-34.5557,-58.4132,14,18
AEROPARQUE,-34.5557,-58.4132,15,18
AEROPARQUE,-34.5557,-58.4132,16,42
AEROPARQUE,-34.5557,-58.4132,17,24
AEROPARQUE,-34.5557,-58.4132,18,44
AEROPARQUE,-34.5557,-58.4132,19,29
AEROPARQUE,-34.5557,-58.4132,20,31
AEROPARQUE,-34.5557,-58.4132,21,22
AEROPARQUE,-34.5557,-58.4132,22,23
AEROPARQUE,-34.5557,-58.4132,23,18
AGRONOMIA,-34.59825,-58.48187,0,26
AGRONOMIA,-34.59825,-58.48187,1,16
AGRONOMIA,-34.59825,-58.48187,2,13
AGRONOMIA,-34.59825,-58.48187,4,28
AGRONOMIA,-34.59825,-58.48187,5,5
AGRONOMIA,-34.59825,-58.48187,6,51
AGRONOMIA,-34.59825,-58.48187,7,36
AGRONOMIA,-34.59825,-58.48187,8,47
AGRONOMIA,-34.59825,-58.48187,9,51
AGRONOMIA,-34.59825,-58.48187,10,42
AGRONOMIA,-34.59825,-58.48187,11,42
AGRONOMIA,-34.59825,-58.48187,12,29
AGRONOMIA,-34.59825,-58.48187,13,40
AGRONOMIA,-34.59825,-58.48187,14,30
AGRONOMIA,-34.59825,-58.48187,15,30
AGRONOMIA,-34.59825,-58.48187,16,52
AGRONOMIA,-34.59825,-58.48187,17,60
AGRONOMIA,-34.59825,-58.48187,18,52
AGRONOMIA,-34.59825,-58.48187,19,62
AGRONOMIA,-34.59825,-58.48187,20,79
AGRONOMIA,-34.59825,-58.48187,21,52
AGRONOMIA,-34.59825,-58.48187,22,36
AGRONOMIA,-34.59825,-58.48187,23,32
AGRONOMIA II,-34.5891,-58.48472,0,27
AGRONOMIA II,-34.5891,-58.48472,1,12
AGRONOMIA II,-34.5891,-58.48472,2,9
AGRONOMIA II,-34.5891,-58.48472,3,6
AGRONOMIA II,-34.5891,-58.48472,4,11
AGRONOMIA II,-34.5891,-58.48472,5,3
AGRONOMIA II,-34.5891,-58.48472,6,30
AGRONOMIA II,-34.5891,-58.48472,7,48
AGRONOMIA II,-34.5891,-58.48472,8,80
AGRONOMIA II,-34.5891,-58.48472,9,67
AGRONOMIA II,-34.5891,-58.48472,10,56
AGRONOMIA II,-34.5891,-58.48472,11,65
AGRONOMIA II,-34.5891,-58.48472,12,64
AGRONOMIA II,-34.5891,-58.48472,13,88
AGRONOMIA II,-34.5891,-58.48472,14,75
AGRONOMIA II,-34.5891,-58.48472,15,79
AGRONOMIA II,-34.5891,-58.48472,16,94
AGRONOMIA II,-34.5891,-58.48472,17,237
AGRONOMIA II,-34.5891,-58.48472,18,211
AGRONOMIA II,-34.5891,-58.48472,19,140
AGRONOMIA II,-34.5891,-58.48472,20,137
AGRONOMIA II,-34.5891,-58.48472,21,99
AGRONOMIA II,-34.5891,-58.48472,22,69
AGRONOMIA II,-34.5891,-58.48472,23,39
AGUERO,-34.59453,-58.40894,0,56
AGUERO,-34.59453,-58.40894,1,36
AGUERO,-34.59453,-58.40894,2,27
AGUERO,-34.59453,-58.40894,3,11
AGUERO,-34.59453,-58.40894,4,6
AGUERO,-34.59453,-58.40894,5,50
AGUERO,-34.59453,-58.40894,6,78
AGUERO,-34.59453,-58.40894,7,83
AGUERO,-34.59453,-58.40894,8,129
AGUERO,-34.59453,-58.40894,9,106
AGUERO,-34.59453,-58.40894,10,93
AGUERO,-34.59453,-58.40894,11,164
AGUERO,-34.59453,-58.40894,12,133
AGUERO,-34.59453,-58.40894,13,135
AGUERO,-34.59453,-58.40894,14,134
AGUERO,-34.59453,-58.40894,15,150
AGUERO,-34.59453,-58.40894,16,179
AGUERO,-34.59453,-58.40894,17,225
AGUERO,-34.59453,-58.40894,18,219
AGUERO,-34.59453,-58.40894,19,217
AGUERO,-34.59453,-58.40894,20,212
AGUERO,-34.59453,-58.40894,21,108
AGUERO,-34.59453,-58.40894,22,83
AGUERO,-34.59453,-58.40894,23,78
AIME PAINE,-34.6112,-58.3593,0,70
AIME PAINE,-34.6112,-58.3593,1,84
AIME PAINE,-34.6112,-58.3593,2,68
AIME PAINE,-34.6112,-58.3593,3,30
AIME PAINE,-34.6112,-58.3593,4,28
AIME PAINE,-34.6112,-58.3593,5,14
AIME PAINE,-34.6112,-58.3593,6,20
AIME PAINE,-34.6112,-58.3593,7,12
AIME PAINE,-34.6112,-58.3593,8,41
AIME PAINE,-34.6112,-58.3593,9,36
AIME PAINE,-34.6112,-58.3593,10,71
AIME PAINE,-34.6112,-58.3593,11,68
AIME PAINE,-34.6112,-58.3593,12,90
AIME PAINE,-34.6112,-58.3593,13,104
AIME PAINE,-34.6112,-58.3593,14,174
AIME PAINE,-34.6112,-58.3593,15,167
AIME PAINE,-34.6112,-58.3593,16,202
AIME PAINE,-34.6112,-58.3593,17,265
AIME PAINE,-34.6112,-58.3593,18,321
AIME PAINE,-34.6112,-58.3593,19,219
AIME PAINE,-34.6112,-58.3593,20,182
AIME PAINE,-34.6112,-58.3593,21,128
AIME PAINE,-34.6112,-58.3593,22,112
AIME PAINE,-34.6112,-58.3593,23,86
ALLENDE,-34.6147,-58.5116,0,26
ALLENDE,-34.6147,-58.5116,1,8
ALLENDE,-34.6147,-58.5116,2,8
ALLENDE,-34.6147,-58.5116,3,3
ALLENDE,-34.6147,-58.5116,4,2
ALLENDE,-34.6147,-58.5116,5,7
ALLENDE,-34.6147,-58.5116,6,1
ALLENDE,-34.6147,-58.5116,7,8
ALLENDE,-34.6147,-58.5116,8,19
ALLENDE,-34.6147,-58.5116,9,40
ALLENDE,-34.6147,-58.5116,10,41
ALLENDE,-34.6147,-58.5116,11,22
ALLENDE,-34.6147,-58.5116,12,40
ALLENDE,-34.6147,-58.5116,13,30
ALLENDE,-34.6147,-58.5116,14,73
ALLENDE,-34.6147,-58.5116,15,37
ALLENDE,-34.6147,-58.5116,16,47
ALLENDE,-34.6147,-58.5116,17,72
ALLENDE,-34.6147,-58.5116,18,50
ALLENDE,-34.6147,-58.5116,19,49
ALLENDE,-34.6147,-58.5116,20,38
ALLENDE,-34.6147,-58.5116,21,30
ALLENDE,-34.6147,-58.5116,22,23
ALLENDE,-34.6147,-58.5116,23,21
ALMAFUERTE,-34.6476,-58.4159,0,17
ALMAFUERTE,-34.6476,-58.4159,1,7
ALMAFUERTE,-34.6476,-58.4159,2,8
ALMAFUERTE,-34.6476,-58.4159,3,3
ALMAFUERTE,-34.6476,-58.4159,4,2
ALMAFUERTE,-34.6476,-58.4159,5,16
ALMAFUERTE,-34.6476,-58.4159,6,35
ALMAFUERTE,-34.6476,-58.4159,7,89
ALMAFUERTE,-34.6476,-58.4159,8,50
ALMAFUERTE,-34.6476,-58.4159,9,27
ALMAFUERTE,-34.6476,-58.4159,10,35
ALMAFUERTE,-34.6476,-58.4159,11,55
ALMAFUERTE,-34.6476,-58.4159,12,62
ALMAFUERTE,-34.6476,-58.4159,13,56
ALMAFUERTE,-34.6476,-58.4159,14,38
ALMAFUERTE,-34.6476,-58.4159,15,51
ALMAFUERTE,-34.6476,-58.4159,16,72
ALMAFUERTE,-34.6476,-58.4159,17,95
ALMAFUERTE,-34.6476,-58.4159,18,89
ALMAFUERTE,-34.6476,-58.4159,19,71
ALMAFUERTE,-34.6476,-58.4159,20,71
ALMAFUERTE,-34.6476,-58.4159,21,73
ALMAFUERTE,-34.6476,-58.4159,22,71
ALMAFUERTE,-34.6476,-58.4159,23,25
ALMAGRO,-34.6201,-58.4220,0,36
ALMAGRO,-34.6201,-58.4220,1,25
ALMAGRO,-34.6201,-58.4220,2,9
ALMAGRO,-34.6201,-58.4220,3,9
ALMAGRO,-34.6201,-58.4220,4,4
ALMAGRO,-34.6201,-58.4220,5,14
ALMAGRO,-34.6201,-58.4220,6,16
ALMAGRO,-34.6201,-58.4220,7,55
ALMAGRO,-34.6201,-58.4220,8,110
ALMAGRO,-34.6201,-58.4220,9,62
ALMAGRO,-34.6201,-58.4220,10,66
ALMAGRO,-34.6201,-58.4220,11,58
ALMAGRO,-34.6201,-58.4220,12,67
ALMAGRO,-34.6201,-58.4220,13,96
ALMAGRO,-34.6201,-58.4220,14,74
ALMAGRO,-34.6201,-58.4220,15,96
ALMAGRO,-34.6201,-58.4220,16,131
ALMAGRO,-34.6201,-58.4220,17,149
ALMAGRO,-34.6201,-58.4220,18,144
ALMAGRO,-34.6201,-58.4220,19,159
ALMAGRO,-34.6201,-58.4220,20,130
ALMAGRO,-34.6201,-58.4220,21,82
ALMAGRO,-34.6201,-58.4220,22,64
ALMAGRO,-34.6201,-58.4220,23,43
ALSINA,-34.6108,-58.3806,0,20
ALSINA,-34.6108,-58.3806,1,20
ALSINA,-34.6108,-58.3806,2,9
ALSINA,-34.6108,-58.3806,3,3
ALSINA,-34.6108,-58.3806,4,3
ALSINA,-34.6108,-58.3806,5,6
ALSINA,-34.6108,-58.3806,6,22
ALSINA,-34.6108,-58.3806,7,48
ALSINA,-34.6108,-58.3806,8,49
ALSINA,-34.6108,-58.3806,9,71
ALSINA,-34.6108,-58.3806,10,58
ALSINA,-34.6108,-58.3806,11,75
ALSINA,-34.6108,-58.3806,12,63
ALSINA,-34.6108,-58.3806,13,94
ALSINA,-34.6108,-58.3806,14,172
ALSINA,-34.6108,-58.3806,15,117
ALSINA,-34.6108,-58.3806,16,95
ALSINA,-34.6108,-58.3806,17,68
ALSINA,-34.6108,-58.3806,18,34
ALSINA,-34.6108,-58.3806,19,55
ALSINA,-34.6108,-58.3806,20,42
ALSINA,-34.6108,-58.3806,21,20
ALSINA,-34.6108,-58.3806,22,23
ALSINA,-34.6108,-58.3806,23,25
ALVEAR TENIS CLUB,-34.6414,-58.4824,0,27
ALVEAR TENIS CLUB,-34.6414,-58.4824,1,19
